[32672:25224:0205/172427.235:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[32672:29748:0205/172427.314:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[32672:25224:0205/172427.336:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[32672:25224:0205/172431.754:WARNING:external_registry_loader_win.cc(232)] Error observing HKLM: 5
[22712:22632:0205/172433.586:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-0016D2E2F263E18C7C4E206F9C6E870F will be ignored
[32672:2684:0205/181604.523:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=44})
[32672:2684:0205/181605.523:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=45})
[32672:2684:0205/181606.522:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=44})
[32672:2684:0205/181607.519:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=43})
[32672:2684:0205/181608.525:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=42})
[32672:2684:0205/181609.524:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=43})
[32672:2684:0205/181610.523:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=45})
[32672:2684:0205/181612.525:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=46})
[32672:2684:0205/181613.525:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=45})
[32672:2684:0205/181616.527:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=46})
[32672:2684:0205/181617.526:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=47})
[32672:2684:0205/181618.526:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181619.525:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:2684:0205/181621.527:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181622.527:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=52})
[7112:10864:0205/181622.660:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[7112:10864:0205/181622.679:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[7112:10864:0205/181622.680:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[7112:10864:0205/181623.150:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[7112:10864:0205/181623.150:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[7112:10864:0205/181623.150:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[32672:2684:0205/181625.527:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181626.534:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:25224:0205/181627.608:VERBOSE1:device_event_log_impl.cc(198)] [18:16:27.609] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[32672:25224:0205/181627.608:VERBOSE1:device_event_log_impl.cc(198)] [18:16:27.609] Display: EVENT: screen_win.cc:895 Display[3317366019] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[32672:2684:0205/181628.548:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181630.543:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=47})
[32672:2684:0205/181632.552:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=46})
[32672:2684:0205/181636.540:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=45})
[32672:2684:0205/181638.542:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=43})
[32672:2684:0205/181640.550:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=44})
[32672:2684:0205/181641.552:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=45})
[32672:2684:0205/181642.566:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=47})
[32672:2684:0205/181645.549:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181646.547:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181647.562:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:2684:0205/181648.548:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181650.566:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=52})
[32672:2684:0205/181651.565:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181652.570:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181654.557:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181657.572:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:2684:0205/181658.572:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181700.569:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181701.582:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=47})
[32672:2684:0205/181702.560:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181703.574:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181704.561:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181708.568:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=49})
[32672:2684:0205/181709.580:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=48})
[32672:2684:0205/181710.565:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
[32672:2684:0205/181711.583:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181712.565:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=52})
[32672:2684:0205/181717.575:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=51})
[32672:2684:0205/181718.590:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000022E4001DAD40}, {new_limit=50})
